"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"2094",2018-10-19,52,2018.79726027397,0,0,0,0,0,0,0,0
"2095",2018-10-22,52.189999,2018.80547945205,0,0,0,0,0,0,0,0
"2096",2018-10-23,58.827999,2018.80821917808,0,0,0,0,0,0,0,0
"2097",2018-10-24,57.700001,2018.81095890411,0,0,0,0,0,0,0,0
"2098",2018-10-25,62.972,2018.81369863014,0,0,0,0,0,0,0,0
"2099",2018-10-26,66.18,2018.81643835616,0,0,0,0,0,0,0,0
"2100",2018-10-29,66.970001,2018.82465753425,0,0,0,0,0,0,0,0
"2101",2018-10-30,65.980003,2018.82739726027,0,0,0,0,0,0,0,0
"2102",2018-10-31,67.463997,2018.8301369863,0,0,0,0,0,0,0,0
"2103",2018-11-01,68.856003,2018.83287671233,0,0,0,0,0,0,0,0
"2104",2018-11-02,69.281998,2018.83561643836,0,0,0,0,0,0,0,0
"2105",2018-11-05,68.279999,2018.84383561644,0,0,0,0,0,0,0,0
"2106",2018-11-06,68.211998,2018.84657534247,0,0,0,0,0,0,0,0
"2107",2018-11-07,69.632004,2018.84931506849,0,0,0,0,0,0,0,0
"2108",2018-11-08,70.279999,2018.85205479452,0,0,0,0,0,0,0,0
"2109",2018-11-09,70.101997,2018.85479452055,0,0,0,0,0,0,0,0
"2110",2018-11-12,66.255997,2018.86301369863,0,0,0,0,0,0,0,0
"2111",2018-11-13,67.746002,2018.86575342466,0,0,0,0,0,0,0,0
"2112",2018-11-14,68.800003,2018.86849315069,0,0,0,0,0,0,0,0
"2113",2018-11-15,69.688004,2018.87123287671,0,0,0,0,0,0,0,0
"2114",2018-11-16,70.862,2018.87397260274,0,0,0,0,0,0,0,0
"2115",2018-11-19,70.694,2018.88219178082,0,0,0,0,0,0,0,0
"2116",2018-11-20,69.498001,2018.88493150685,0,0,0,0,0,0,0,0
"2117",2018-11-21,67.638,2018.88767123288,0,0,0,0,0,0,0,0
"2118",2018-11-23,65.166,2018.89315068493,0,0,0,0,0,0,0,0
"2119",2018-11-26,69.199997,2018.90136986301,0,0,0,0,0,0,0,0
"2120",2018-11-27,68.783997,2018.90410958904,0,0,0,0,0,0,0,0
"2121",2018-11-28,69.573997,2018.90684931507,0,0,0,0,0,0,0,0
"2122",2018-11-29,68.234001,2018.9095890411,0,0,0,0,0,0,0,0
"2123",2018-11-30,70.096001,2018.91232876712,0,0,0,0,0,0,0,0
"2124",2018-12-03,71.697998,2018.92054794521,0,0,0,0,0,0,0,0
"2125",2018-12-04,71.940002,2018.92328767123,0,0,0,0,0,0,0,0
"2126",2018-12-06,72.612,2018.92876712329,0,0,0,0,0,0,0,0
"2127",2018-12-07,71.594002,2018.93150684932,0,0,0,0,0,0,0,0
"2128",2018-12-10,73.029999,2018.9397260274,0,0,0,0,0,0,0,0
"2129",2018-12-11,73.351997,2018.94246575342,0,0,0,0,0,0,0,0
"2130",2018-12-12,73.32,2018.94520547945,0,0,0,0,0,0,0,0
"2131",2018-12-13,75.358002,2018.94794520548,0,0,0,0,0,0,0,0
"2132",2018-12-14,73.141998,2018.95068493151,0,0,0,0,0,0,0,0
"2133",2018-12-17,69.683998,2018.95890410959,0,0,0,0,0,0,0,0
"2134",2018-12-18,67.405998,2018.96164383562,0,0,0,0,0,0,0,0
"2135",2018-12-19,66.594002,2018.96438356164,0,0,0,0,0,0,0,0
"2136",2018-12-20,63.076,2018.96712328767,0,0,0,0,0,0,0,0
"2137",2018-12-21,63.953999,2018.9698630137,0,0,0,0,0,0,0,0
"2138",2018-12-24,59.077999,2018.97808219178,0,0,0,0,0,0,0,0
"2139",2018-12-26,65.218002,2018.98356164384,0,0,0,0,0,0,0,0
"2140",2018-12-27,63.226002,2018.98630136986,0,0,0,0,0,0,0,0
"2141",2018-12-28,66.774002,2018.98904109589,0,0,0,0,0,0,0,0
"2142",2018-12-31,66.559998,2018.99726027397,0,0,0,0,0,0,0,0
"2143",2019-01-02,62.023998,2019.00273972603,0,0,0,0,0,0,0,0
"2144",2019-01-03,60.071999,2019.00547945205,0,0,0,0,0,0,0,0
"2145",2019-01-04,63.537998,2019.00821917808,0,0,0,0,0,0,0,0
"2146",2019-01-07,66.991997,2019.01643835616,0,0,0,0,0,0,0,0
"2147",2019-01-08,67.07,2019.01917808219,0,0,0,0,0,0,0,0
"2148",2019-01-09,67.706001,2019.02191780822,0,0,0,0,0,0,0,0
