"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"8401",2019-07-11,135.719223,2019.52328767123,0,0,0,0,0,0,0,0
"8402",2019-07-12,136.209549,2019.52602739726,0,0,0,0,0,0,0,0
"8403",2019-07-15,136.209549,2019.53424657534,0,0,0,0,0,0,0,0
"8404",2019-07-16,134.424774,2019.53698630137,0,0,0,0,0,0,0,0
"8405",2019-07-17,133.630493,2019.5397260274,0,0,0,0,0,0,0,0
"8406",2019-07-18,133.777588,2019.54246575342,0,0,0,0,0,0,0,0
"8407",2019-07-19,133.973709,2019.54520547945,0,0,0,0,0,0,0,0
"8408",2019-07-22,135.748627,2019.55342465753,0,0,0,0,0,0,0,0
"8409",2019-07-23,136.591995,2019.55616438356,0,0,0,0,0,0,0,0
"8410",2019-07-24,137.994293,2019.55890410959,0,0,0,0,0,0,0,0
"8411",2019-07-25,137.474548,2019.56164383562,0,0,0,0,0,0,0,0
"8412",2019-07-26,138.602264,2019.56438356164,0,0,0,0,0,0,0,0
"8413",2019-07-29,138.298279,2019.57260273973,0,0,0,0,0,0,0,0
"8414",2019-07-30,137.631454,2019.57534246575,0,0,0,0,0,0,0,0
"8415",2019-07-31,133.630493,2019.57808219178,0,0,0,0,0,0,0,0
"8416",2019-08-01,135.385788,2019.58082191781,0,0,0,0,0,0,0,0
"8417",2019-08-02,134.24826,2019.58356164384,0,0,0,0,0,0,0,0
"8418",2019-08-05,129.649139,2019.59178082192,0,0,0,0,0,0,0,0
"8419",2019-08-06,132.0811,2019.59452054795,0,0,0,0,0,0,0,0
"8420",2019-08-07,132.659637,2019.59726027397,0,0,0,0,0,0,0,0
"8421",2019-08-08,136.199722,2019.6,0,0,0,0,0,0,0,0
"8422",2019-08-09,135.042587,2019.60273972603,0,0,0,0,0,0,0,0
"8423",2019-08-12,133.159775,2019.61095890411,0,0,0,0,0,0,0,0
"8424",2019-08-13,135.915359,2019.61369863014,0,0,0,0,0,0,0,0
"8425",2019-08-14,131.822342,2019.61643835616,0,0,0,0,0,0,0,0
"8426",2019-08-15,131.527161,2019.61917808219,0,0,0,0,0,0,0,0
"8427",2019-08-16,133.937714,2019.62191780822,0,0,0,0,0,0,0,0
"8428",2019-08-19,136.18103,2019.6301369863,0,0,0,0,0,0,0,0
"8429",2019-08-20,135.049515,2019.63287671233,0,0,0,0,0,0,0,0
"8430",2019-08-21,136.554871,2019.63561643836,0,0,0,0,0,0,0,0
"8431",2019-08-22,135.561142,2019.63835616438,0,0,0,0,0,0,0,0
"8432",2019-08-23,131.241837,2019.64109589041,0,0,0,0,0,0,0,0
"8433",2019-08-26,133.268677,2019.64931506849,0,0,0,0,0,0,0,0
"8434",2019-08-27,133.553986,2019.65205479452,0,0,0,0,0,0,0,0
"8435",2019-08-28,133.376877,2019.65479452055,0,0,0,0,0,0,0,0
"8436",2019-08-29,135.89566,2019.65753424658,0,0,0,0,0,0,0,0
"8437",2019-08-30,135.639877,2019.6602739726,0,0,0,0,0,0,0,0
"8438",2019-09-03,133.849152,2019.67123287671,0,0,0,0,0,0,0,0
"8439",2019-09-04,135.413574,2019.67397260274,0,0,0,0,0,0,0,0
"8440",2019-09-05,137.794601,2019.67671232877,0,0,0,0,0,0,0,0
"8441",2019-09-06,136.859909,2019.67945205479,0,0,0,0,0,0,0,0
"8442",2019-09-09,135.305359,2019.68767123288,0,0,0,0,0,0,0,0
"8443",2019-09-10,133.888535,2019.6904109589,0,0,0,0,0,0,0,0
"8444",2019-09-11,133.927872,2019.69315068493,0,0,0,0,0,0,0,0
"8445",2019-09-12,135.305359,2019.69589041096,0,0,0,0,0,0,0,0
"8446",2019-09-13,135.108551,2019.69863013699,0,0,0,0,0,0,0,0
"8447",2019-09-16,134.134491,2019.70684931507,0,0,0,0,0,0,0,0
"8448",2019-09-17,135.177429,2019.7095890411,0,0,0,0,0,0,0,0
"8449",2019-09-18,136.28923,2019.71232876712,0,0,0,0,0,0,0,0
"8450",2019-09-19,138.798172,2019.71506849315,0,0,0,0,0,0,0,0
"8451",2019-09-20,137.194412,2019.71780821918,0,0,0,0,0,0,0,0
"8452",2019-09-23,136.899246,2019.72602739726,0,0,0,0,0,0,0,0
"8453",2019-09-24,135.167603,2019.72876712329,0,0,0,0,0,0,0,0
"8454",2019-09-25,137.115707,2019.73150684932,0,0,0,0,0,0,0,0
"8455",2019-09-26,137.292786,2019.73424657534,0,0,0,0,0,0,0,0
"8456",2019-09-27,135.511932,2019.73698630137,0,0,0,0,0,0,0,0
"8457",2019-09-30,136.791,2019.74520547945,0,0,0,0,0,0,0,0
"8458",2019-10-01,134.86261,2019.74794520548,0,0,0,0,0,0,0,0
"8459",2019-10-02,132.481552,2019.75068493151,0,0,0,0,0,0,0,0
"8460",2019-10-03,134.085312,2019.75342465753,0,0,0,0,0,0,0,0
"8461",2019-10-04,135.89566,2019.75616438356,0,0,0,0,0,0,0,0
"8462",2019-10-07,134.911774,2019.76438356164,0,0,0,0,0,0,0,0
"8463",2019-10-08,133.485138,2019.76712328767,0,0,0,0,0,0,0,0
"8464",2019-10-09,136.013748,2019.7698630137,0,0,0,0,0,0,0,0
"8465",2019-10-10,136.859909,2019.77260273973,0,0,0,0,0,0,0,0
"8466",2019-10-11,137.430542,2019.77534246575,0,0,0,0,0,0,0,0
"8467",2019-10-14,137.302643,2019.78356164384,0,0,0,0,0,0,0,0
"8468",2019-10-15,139.290131,2019.78630136986,0,0,0,0,0,0,0,0
"8469",2019-10-16,138.148804,2019.78904109589,0,0,0,0,0,0,0,0
"8470",2019-10-17,137.440399,2019.79178082192,0,0,0,0,0,0,0,0
"8471",2019-10-18,135.197113,2019.79452054795,0,0,0,0,0,0,0,0
"8472",2019-10-21,136.200668,2019.80273972603,0,0,0,0,0,0,0,0
