"","date_from","date_to","t2","t1","price","fitted price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2","oscill","damp","rel_err"
"24","2005-05-21","2007-09-28",2007.7397260274,2005.69863013699,1526.75,1506.95177217284,-115,80,0.265326635131942,96,1.99700927762361,5.25854177546322,2008.00505266253,7.32223920024317,-0.0634912060301097,-0.011776054871341,-0.0162029978771546,0.321325217191424,0.0255876008927446,0.0131379306177899
"25","2005-05-21","2007-09-28",2007.7397260274,2005.71506849315,1526.75,1512.74565360637,-120,80,0.00209993829867017,0,1.33954876641325,7.73594175589311,2007.7418259657,7.32170997412145,-0.108692193247239,-0.0146941669142065,-0.0244798620973954,0.00400971063123161,0.0182695027534052,0.00925756842218623
"26","2005-05-21","2007-09-28",2007.7397260274,2005.72602739726,1526.75,1508.81917506841,-125,80,0.392838772590267,143,1.99828885587513,6.08631684753894,2008.13256479999,7.32870152485951,-0.0565113024126992,0.00366346260252622,-0.0155788320280861,0.542338932451367,0.0138480091794141,0.0118840118338081
"27","2005-05-21","2007-09-28",2007.7397260274,2005.7397260274,1526.75,1511.18554919732,-130,80,0.00200436718137098,0,1.38029923397696,7.84242077109751,2007.74173039458,7.32067490437929,-0.107505984396366,-0.015496083410065,-0.0253412349495672,0.003927804841826,0.01851480853495,0.0102994968493063
"28","2005-05-21","2007-09-28",2007.7397260274,2005.75342465753,1526.75,1510.62186954982,-135,80,0.0020009786362607,0,1.39786768354323,7.89788666612947,2007.74172700603,7.32029979976529,-0.107106072537692,-0.0158546623051,-0.0257639951075578,0.00397612062623231,0.0186008844543511,0.010676484152178
"29","2005-05-21","2007-09-28",2007.7397260274,2005.77260273973,1526.75,1509.79482098986,-140,80,0.00200956300727739,0,1.42126427918765,7.94702877898177,2007.7417355904,7.31974918566682,-0.106454655885666,-0.0163159145715015,-0.0261658961500009,0.00405716901496408,0.0187898896134219,0.0112301213213987
"30","2005-05-21","2007-09-28",2007.7397260274,2005.78082191781,1526.75,1509.64515276407,-145,80,0.00200101424979948,0,1.42516722000097,7.95523049722981,2007.74172704165,7.3196493909407,-0.106334597073312,-0.0163767844165746,-0.0262269168376468,0.00406104736741332,0.0188124634699441,0.0113303760189
"31","2005-05-21","2007-09-28",2007.7397260274,2005.79452054795,1526.75,1509.57522282385,-150,80,0.00201324529939484,0,1.4271125759758,7.96112900411719,2007.7417392727,7.31960300900985,-0.106279651579478,-0.0163977350652608,-0.02626417736839,0.0041176670716771,0.0188132795292739,0.0113772251402113
"32","2005-05-21","2007-09-28",2007.7397260274,2005.81095890411,1526.75,1509.56453539547,-155,80,0.0020032814577462,0,1.42618742409522,7.95570574247143,2007.74172930885,7.31959588851613,-0.106252670689395,-0.0163482648932868,-0.0262458728423984,0.00412938573926587,0.0187897600710463,0.0113843854976578
"33","2005-05-21","2007-09-28",2007.7397260274,2005.82191780822,1526.75,1519.07401359112,-160,80,0.00331319464862645,1,0.410108873986084,2.00328872996336,2007.74303922205,7.34121421661775,-0.0995726544362989,-0.0461407929082622,-0.0446621009869393,0.00172894212247377,0.0265035738639233,0.00505306939635824
