"","Date","Close","t","SS_EW","SS_EF","S_EW","S_EF","M_EW","M_EF","L_EW","L_EF"
"7401",2014-05-15,101.74,2014.36712328767,0,0,0,0,0,0,0,0
"7402",2014-05-16,102.31,2014.3698630137,0,0,0,0,0,0,0,0
"7403",2014-05-19,102.95,2014.37808219178,0,0,0,0,0,0,0,0
"7404",2014-05-20,102.8,2014.38082191781,0,0,0,0,0,0,0,0
"7405",2014-05-21,104.31,2014.38356164384,0,0,0,0,0,0,0,0
"7406",2014-05-22,104.03,2014.38630136986,0,0,0,0,0,0,0,0
"7407",2014-05-23,105.01,2014.38904109589,0,0,0,0,0,0,0,0
"7409",2014-05-27,104.78,2014.4,0,0,0,0,0,0,0,0
"7410",2014-05-28,103.37,2014.40273972603,0,0,0,0,0,0,0,0
"7411",2014-05-29,104.26,2014.40547945205,0,0,0,0,0,0,0,0
"7412",2014-05-30,103.4,2014.40821917808,0,0,0,0,0,0,0,0
"7413",2014-06-02,103.07,2014.41643835616,0,0,0,0,0,0,0,0
"7414",2014-06-03,103.34,2014.41917808219,0,0,0,0,0,0,0,0
"7415",2014-06-04,103.27,2014.42191780822,0,0,0,0,0,0,0,0
"7416",2014-06-05,103.17,2014.42465753425,0,0,0,0,0,0,0,0
"7417",2014-06-06,103.32,2014.42739726027,0,0,0,0,0,0,0,0
"7418",2014-06-09,105.09,2014.43561643836,0,0,0,0,0,0,0,0
"7419",2014-06-10,105.02,2014.43835616438,0,0,0,0,0,0,0,0
"7420",2014-06-11,105.04,2014.44109589041,0,0,0,0,0,0,0,0
"7421",2014-06-12,107.2,2014.44383561644,0,0,0,0,0,0,0,0
"7422",2014-06-13,107.49,2014.44657534247,0,0,0,0,0,0,0,0
"7423",2014-06-16,107.52,2014.45479452055,0,0,0,0,0,0,0,0
"7424",2014-06-17,106.95,2014.45753424658,0,0,0,0,0,0,0,0
"7425",2014-06-18,106.64,2014.4602739726,0,0,0,0,0,0,0,0
"7426",2014-06-19,107.08,2014.46301369863,0,0,0,0,0,0,0,0
"7427",2014-06-20,107.95,2014.46575342466,0,0,0,0,0,0,0,0
"7428",2014-06-23,106.83,2014.47397260274,0,0,0,0,0,0,0,0
"7429",2014-06-24,106.64,2014.47671232877,0,0,0,0,0,0,0,0
"7430",2014-06-25,107.04,2014.47945205479,0,0,0,0,0,0,0,0
"7431",2014-06-26,106.49,2014.48219178082,0,0,0,0,0,0,0,0
"7432",2014-06-27,106.46,2014.48493150685,0,0,0,0,0,0,0,0
"7433",2014-06-30,106.07,2014.49315068493,0,0,0,0,0,0,0,0
"7434",2014-07-01,106.06,2014.49589041096,0,0,0,0,0,0,0,0
"7435",2014-07-02,105.18,2014.49863013699,0,0,0,0,0,0,0,0
"7436",2014-07-03,104.76,2014.50136986301,0,0,0,0,0,0,0,0
"7438",2014-07-07,104.19,2014.51232876712,0,0,0,0,0,0,0,0
"7439",2014-07-08,104.06,2014.51506849315,0,0,0,0,0,0,0,0
"7440",2014-07-09,102.93,2014.51780821918,0,0,0,0,0,0,0,0
"7441",2014-07-10,103.61,2014.52054794521,0,0,0,0,0,0,0,0
"7442",2014-07-11,101.48,2014.52328767123,0,0,0,0,0,0,0,0
"7443",2014-07-14,101.73,2014.53150684932,0,0,0,0,0,0,0,0
"7444",2014-07-15,100.56,2014.53424657534,0,0,0,0,0,0,0,0
